OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
22474,BUCK CREEK,2007,2454320.5,220,800,1,Lightning,2454321.5,221,900,0.1,A,47.52972222,-113.6163889
1717348,,2009,2455051.5,220,,13,Missing/Undefined,,,,5,B,18.01667,-66.451408
827832,,2000,2451763.5,220,1120,7,Arson,,,,3,B,30.7683,-88.5614
21817,OR-MAF-224,2007,2454320.5,220,1403,1,Lightning,2454320.5,220,1630,0.1,A,44.59888889,-118.8022222
466592,,2006,2453955.5,220,,13,Missing/Undefined,,,,0.4,B,45.0518,-116.2105
323313,WHEAT,2004,2453224.5,220,1500,1,Lightning,2453225.5,221,1530,0.1,A,40.4158,-108.399
756320,LADY LOVE HOLLOW,1992,2448841.5,220,,13,Missing/Undefined,,,,1,B,40.57301,-111.32799
341418,UNLUCKY 2,2003,2452859.5,220,1303,1,Lightning,2452859.5,220,1425,0.1,A,42.2537,-123.0437
148366,JIMMY CREEK #4,2002,2452494.5,220,930,2,Equipment Use,2452494.5,220,1700,0.2,A,35.57472222,-93.21194444
212255,SANDY,1997,2450668.5,220,1722,1,Lightning,2450671.5,223,1800,0.1,A,36.6853,-113.8355
154345,RAMONA,2002,2452494.5,220,1300,1,Lightning,2452495.5,221,1110,0.5,B,39.41055556,-105.2138889
1796123,PILGRIM RIVER,2015,2457242.5,220,2130,1,Lightning,2457293.5,271,1500,1,B,65.0692,-164.6714
61504,,1994,2449572.5,220,2130,1,Lightning,2449573.5,221,1400,0.1,A,47.87833333,-116.565
813190,,2005,2453590.5,220,,7,Arson,,,,50,C,33.3061,-89.9658
652908,,2008,2454685.5,220,,1,Lightning,,,,10,C,35.08136,-100.1673
1582980,SOUTH CROOKSTON,2012,2456146.5,220,,1,Lightning,2456146.5,220,,6,B,42.86194444,-100.7977778
