,OBJECT_ID,CITY,COUNTY,STATE,COUNTRY
547,1530338,Gardendale,Ector County,Texas,US
548,525894,Norwood,Stanly County,North Carolina,US
549,453152,Donalsonville,Seminole County,Georgia,US
550,1677160,Fayetteville,Cumberland County,North Carolina,US
551,930816,Pulaski,Giles County,Tennessee,US
552,1451512,Villa Ridge,Franklin County,Missouri,US
553,1398391,Grayson,Gwinnett County,Georgia,US
554,1624445,Crugers,Westchester County,New York,US
555,116965,Littlerock,Los Angeles County,California,US
556,1236465,Adel,Cook County,Georgia,US
557,1406021,Valdosta,Lowndes County,Georgia,US
558,535986,Mount Pleasant,Cabarrus County,North Carolina,US
559,1697871,San Marcos,Hays County,Texas,US
